"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 25 21:11:37 GMT 2025","Mon Aug 25 21:11:38 GMT 2025","1401","LMS system","Authentication","Authorization","","","Navigate from login page to registration page",""
"passed","Mon Aug 25 21:11:31 GMT 2025","Mon Aug 25 21:11:34 GMT 2025","2033","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Aug 25 21:11:39 GMT 2025","Mon Aug 25 21:11:40 GMT 2025","1288","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Mon Aug 25 21:11:34 GMT 2025","Mon Aug 25 21:11:37 GMT 2025","2816","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Mon Aug 25 21:11:31 GMT 2025","Mon Aug 25 21:11:33 GMT 2025","1991","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Mon Aug 25 21:11:36 GMT 2025","Mon Aug 25 21:11:37 GMT 2025","1804","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Mon Aug 25 21:11:40 GMT 2025","Mon Aug 25 21:11:42 GMT 2025","2121","LMS system","Courses","Courses","","","Create course",""
"passed","Mon Aug 25 21:11:41 GMT 2025","Mon Aug 25 21:11:43 GMT 2025","2801","LMS system","Courses","Courses","","","Edit course",""
"passed","Mon Aug 25 21:11:42 GMT 2025","Mon Aug 25 21:11:44 GMT 2025","1635","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Mon Aug 25 21:11:34 GMT 2025","Mon Aug 25 21:11:35 GMT 2025","1434","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
